Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings,Sim Number
2010-05-23,San Antonio,Nashville,Nashville,3,12,,,,,1
2010-05-23,Atlanta,Dallas,Dallas,8,12,,,,,1
2010-05-23,Seattle,Oakland,Seattle,8,6,,,,,1
2010-05-23,Merida,Birmingham,Merida,7,5,,,,,1
2010-05-23,Tijuana,Calgary,Calgary,4,6,,,,,1
2010-05-23,Charlotte,Monterrey,Charlotte,6,3,,,,,1
2010-05-23,Vancouver,Los Angeles,Vancouver,10,4,,,,,1
2010-05-24,Seattle,Los Angeles,Seattle,5,1,,,,,1
2010-05-24,Birmingham,San Antonio,San Antonio,3,5,,,,,1
2010-05-24,Merida,Charlotte,Charlotte,1,3,,,,,1
2010-05-24,Monterrey,Atlanta,Atlanta,1,4,,,,,1
2010-05-24,Phoenix,Vancouver,Vancouver,5,8,,,,,1
2010-05-25,Calgary,Oakland,Oakland,2,3,,,,,1
2010-05-25,Dallas,Nashville,Nashville,3,7,,,,,1
2010-05-25,Seattle,Los Angeles,Seattle,10,3,,,,,1
2010-05-25,Birmingham,San Antonio,San Antonio,5,11,,,,,1
2010-05-25,Merida,Charlotte,Merida,5,1,,,,,1
2010-05-25,Phoenix,Vancouver,Phoenix,9,2,,,,,1
2010-05-26,Calgary,Oakland,Calgary,2,0,,,,,1
2010-05-26,Dallas,Nashville,Dallas,13,9,,,,,1
2010-05-26,Denver,Tijuana,Denver,4,3,,,,,1
2010-05-26,Seattle,Los Angeles,Seattle,5,3,,,,,1
2010-05-26,Birmingham,San Antonio,Birmingham,6,5,,,,,1
2010-05-26,Merida,Charlotte,Merida,2,1,,,,,1
2010-05-26,Monterrey,Atlanta,Atlanta,3,6,,,,,1
2010-05-26,Phoenix,Vancouver,Phoenix,5,3,,,,,1
2010-05-27,Dallas,Nashville,Nashville,2,4,,,,,1
2010-05-27,Denver,Tijuana,Tijuana,1,3,,,,,1
2010-05-27,Birmingham,Merida,Birmingham,5,3,,,,,1
2010-05-27,Los Angeles,Vancouver,Los Angeles,8,6,,,,,1
2010-05-28,Dallas,Atlanta,Dallas,3,2,,,,,1
2010-05-28,Oakland,Calgary,Calgary,2,7,,,,,1
2010-05-28,Nashville,Monterrey,Nashville,2,1,,,,,1
2010-05-28,Denver,Phoenix,Phoenix,2,4,,,,,1
2010-05-28,Charlotte,San Antonio,Charlotte,11,4,,,,,1
2010-05-28,Tijuana,Seattle,Tijuana,6,1,,,,,1
2010-05-28,Birmingham,Merida,Birmingham,7,4,,,,,1
2010-05-28,Los Angeles,Vancouver,Vancouver,9,10,,,,,1
2010-05-29,Dallas,Atlanta,Dallas,5,2,,,,,1
2010-05-29,Oakland,Calgary,Oakland,4,0,,,,,1
2010-05-29,Denver,Phoenix,Denver,2,1,,,,,1
2010-05-29,Charlotte,San Antonio,Charlotte,4,3,,,,,1
2010-05-29,Tijuana,Seattle,Seattle,2,9,,,,,1
2010-05-29,Birmingham,Merida,Birmingham,2,0,,,,,1
2010-05-29,Los Angeles,Vancouver,Vancouver,4,6,,,,,1
2010-05-30,Dallas,Atlanta,Atlanta,4,14,,,,,1
2010-05-30,Oakland,Calgary,Calgary,0,2,,,,,1
2010-05-30,Nashville,Monterrey,Monterrey,5,10,,,,,1
2010-05-30,Denver,Phoenix,Phoenix,4,5,,,,,1
2010-05-30,Charlotte,San Antonio,San Antonio,3,4,,,,,1
