Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings,Sim Number
2010-09-18,New Haven,Montreal,New Haven,2,0,,,,,1
2010-09-18,Akron,Indianapolis,Indianapolis,0,13,,,,,1
2010-09-19,Montreal,New York,New York,3,6,,,,,1
2010-09-19,Columbus,Akron,Columbus,3,2,,,,,1
2010-09-19,Winnipeg,St. Paul,St. Paul,2,4,,,,,1
2010-09-19,Philadelphia,"Washington, D.C.","Washington, D.C.",1,2,,,,,1
2010-09-19,Chicago,St. Louis,Chicago,6,4,,,,,1
2010-09-19,Indianapolis,Detroit,Detroit,6,7,,,,,1
2010-09-19,Pittsburgh,Toronto,Pittsburgh,8,5,,,,,1
2010-09-20,Montreal,New York,Montreal,5,4,,,,,1
2010-09-20,Columbus,Akron,Akron,2,8,,,,,1
2010-09-20,Winnipeg,St. Paul,St. Paul,3,6,,,,,1
2010-09-20,New Haven,Boston,Boston,3,6,,,,,1
2010-09-20,Philadelphia,"Washington, D.C.",Philadelphia,12,1,,,,,1
2010-09-20,Chicago,St. Louis,St. Louis,1,5,,,,,1
2010-09-20,Indianapolis,Detroit,Indianapolis,10,2,,,,,1
2010-09-20,Pittsburgh,Toronto,Pittsburgh,11,6,,,,,1
2010-09-21,Montreal,New York,Montreal,6,2,,,,,1
2010-09-21,Columbus,Akron,Columbus,10,6,,,,,1
2010-09-21,Winnipeg,St. Paul,Winnipeg,6,1,,,,,1
2010-09-21,New Haven,Boston,New Haven,11,8,,,,,1
2010-09-21,Philadelphia,"Washington, D.C.",Philadelphia,3,2,,,,,1
2010-09-21,Chicago,St. Louis,Chicago,6,2,,,,,1
2010-09-21,Indianapolis,Detroit,Indianapolis,11,4,,,,,1
2010-09-21,Pittsburgh,Toronto,Toronto,0,5,,,,,1
2010-09-22,Montreal,Boston,Montreal,4,1,,,,,1
2010-09-22,Akron,Columbus,Akron,2,1,,,,,1
2010-09-22,Winnipeg,Chicago,Chicago,1,9,,,,,1
2010-09-22,Detroit,Indianapolis,Indianapolis,6,7,,,,,1
2010-09-22,New Haven,New York,New York,1,7,,,,,1
2010-09-22,Philadelphia,"Washington, D.C.",Philadelphia,1,0,,,,,1
2010-09-22,Pittsburgh,Toronto,Toronto,2,6,,,,,1
2010-09-22,St. Louis,St. Paul,St. Louis,5,4,,,,,1
2010-09-23,St. Louis,St. Paul,St. Paul,4,7,,,,,1
2010-09-23,"Washington, D.C.",Philadelphia,Philadelphia,2,14,,,,,1
2010-09-23,Toronto,Pittsburgh,Pittsburgh,1,4,,,,,1
2010-09-23,Montreal,Boston,Boston,1,8,,,,,1
2010-09-23,Akron,Columbus,Columbus,0,9,,,,,1
2010-09-23,Winnipeg,Chicago,Chicago,1,2,,,,,1
2010-09-23,Detroit,Indianapolis,Indianapolis,0,4,,,,,1
2010-09-23,New Haven,New York,New Haven,6,5,,,,,1
2010-09-24,St. Louis,St. Paul,St. Louis,9,4,,,,,1
2010-09-24,"Washington, D.C.",Philadelphia,"Washington, D.C.",6,2,,,,,1
2010-09-24,Toronto,Pittsburgh,Pittsburgh,5,7,,,,,1
2010-09-24,Montreal,Boston,Boston,0,8,,,,,1
2010-09-24,Akron,Columbus,Columbus,1,10,,,,,1
2010-09-24,Winnipeg,Chicago,Chicago,8,9,,,,,1
2010-09-24,Detroit,Indianapolis,Indianapolis,0,7,,,,,1
2010-09-24,New Haven,New York,New York,4,8,,,,,1
2010-09-25,St. Louis,St. Paul,St. Louis,12,1,,,,,1
2010-09-25,"Washington, D.C.",Philadelphia,Philadelphia,7,9,,,,,1
2010-09-25,Toronto,Pittsburgh,Pittsburgh,3,10,,,,,1
2010-09-25,New Haven,New York,New Haven,8,7,,,,,1
2010-09-25,Winnipeg,Chicago,Winnipeg,2,1,,,,,1
2010-09-25,Detroit,Indianapolis,Indianapolis,4,8,,,,,1
2010-09-25,Akron,Columbus,Columbus,2,3,,,,,1
2010-08-16,"Washington, D.C.",Philadelphia,Tie in regulation,3,3,"Washington, D.C.",6,5,12,1
2010-08-17,New Haven,Boston,Tie in regulation,6,6,New Haven,9,8,10,1
2010-08-18,"Washington, D.C.",Philadelphia,Tie in regulation,9,9,"Washington, D.C.",11,10,21,1
2010-08-21,Detroit,Indianapolis,Tie in regulation,5,5,Indianapolis,6,8,30,1
2010-08-25,Columbus,Indianapolis,Tie in regulation,5,5,Columbus,8,7,9,1
2010-08-29,"Washington, D.C.",Toronto,Tie in regulation,2,2,Toronto,3,5,6,1
2010-08-30,Pittsburgh,St. Paul,Tie in regulation,3,3,St. Paul,5,6,6,1
